Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Requis
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Notice de maintenance;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Carnet d'entretien;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Carnet d'entretien;;;Oui
Appareil audiovisuel;Documentation;Plans et schémas;PDE;Schéma unifilaire;;;Oui
Appareil audiovisuel;Documentation;Plans et schémas;EXE;Schéma unifilaire;;;Oui
Appareil audiovisuel;Documentation;Plans et schémas;EXP;Schéma unifilaire;;;Oui
Appareil audiovisuel;Classification;Uniformat II 2010;Toutes;"D6020 - Voice Communications
D6030 – Audio-Video Communication";;;Oui
Appareil audiovisuel;Classification;DIN276;Toutes;"KG451 – Telekommunikationsanlagen
KG452 – Such- und Signalanlagen
KG454 – Elektroackustische Anlagen
KG455 – Audiovisuelle Medien- und Antennenanlagen
KG483 – Automationsmanagement";;;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Antenne gsm;IfcElectricApplianceType.USERDEFINED[ANTENNA];Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Relai gsm;IfcElectricApplianceType.USERDEFINED[ANTENNA];Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Passerelle domotique;IfcElectricApplianceType.USERDEFINED[GATEWAY];Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Antenne;IfcElectricApplianceType.USERDEFINED[ANTENNA];Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Imprimante;IfcElectricApplianceType.PRINTER;Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Ordinateur;IfcElectricApplianceType.COMPUTER;Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Serveur;IfcElectricApplianceType.COMPUTER;Data Devices [BIMids Classification:Data device];Oui
