Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Vidéoparlophone,IfcElectricApplianceType.USERDEFINED[VIDEOINTERCOM],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Décodeur vidéo,IfcElectricApplianceType.USERDEFINED[TUNER],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Box TV,IfcElectricApplianceType.USERDEFINED[TUNER],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Microphone,IfcElectricApplianceType.USERDEFINED[MICROPHONE],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Tuner radio,IfcElectricApplianceType.USERDEFINED[TUNER],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Projecteur,IfcElectricApplianceType.USERDEFINED[PROJECTOR],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Téléphone,IfcElectricApplianceType.TELEPHONE,Communication Devices,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Type IFC,IfcElectricApplianceType.IFC Type,Type IFC Predefined Type,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IfcElectricApplianceType.IFC Type,Type IFC Predefined Type,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IfcElectricApplianceType.IFC Type,Type IFC Predefined Type,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IfcElectricApplianceType.IFC Type,Type IFC Predefined Type,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
