Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Appareil audiovisuel,Documentation,Descriptifs,APD,Prescriptions,,,,,,,,
Appareil audiovisuel,Documentation,Descriptifs,PDE,Prescriptions,,,,,,,,
Appareil audiovisuel,Documentation,Descriptifs,EXE,Prescriptions,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,PDE,Protocole de communication,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Protocole de communication,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Protocole de communication,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Notice de montage,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Notice de montage,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Protocole de mesure,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Protocole de mesure,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Notice de maintenance,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Notice de maintenance,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Carnet d'entretien,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Carnet d'entretien,,,,,,,,
Appareil audiovisuel,Documentation,Plans et schémas,PDE,Schéma unifilaire,,,,,,,,
Appareil audiovisuel,Documentation,Plans et schémas,EXE,Schéma unifilaire,,,,,,,,
Appareil audiovisuel,Documentation,Plans et schémas,EXP,Schéma unifilaire,,,,,,,,
Appareil audiovisuel,Classification,,Toutes,,,,,,,,Uniformat II 2010,D6020 - Voice Communications
Appareil audiovisuel,Classification,,Toutes,,,,,,,,Uniformat II 2010,D6030 - Audio-Video Communication
Appareil audiovisuel,Classification,,Toutes,,,,,,,,DIN276,KG451 - Telekommunikationsanlagen
Appareil audiovisuel,Classification,,Toutes,,,,,,,,DIN276,KG452 - Such- und Signalanlagen
Appareil audiovisuel,Classification,,Toutes,,,,,,,,DIN276,KG454 - Elektroackustische Anlagen
Appareil audiovisuel,Classification,,Toutes,,,,,,,,DIN276,KG455 - Audiovisuelle Medien- und Antennenanlagen
Appareil audiovisuel,Classification,,Toutes,,,,,,,,DIN276,KG483 - Automationsmanagement
Appareil de données,Classe et type IFC,,Toutes,,,,,Antenne gsm,IfcCommunicationsAppliance.ANTENNA,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Relai gsm,IfcCommunicationsAppliance.ANTENNA,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Passerelle domotique,IfcCommunicationsAppliance.GATEWAY,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Antenne,IfcCommunicationsAppliance.ANTENNA,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Imprimante,IfcCommunicationsAppliance.PRINTER,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Ordinateur,IfcCommunicationsAppliance.COMPUTER,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Serveur,IfcCommunicationsAppliance.COMPUTER,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Switch data,IfcCommunicationsAppliance.NETWORKHUB,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Fax,IfcCommunicationsAppliance.FAX,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Modem internet,IfcCommunicationsAppliance.MODEM,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,"Accessoire réseau (firewall, répartition charge réseau,etc.)",IfcCommunicationsAppliance.NETWORKAPPLIANCE,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,"Répétiteur (Wifi, gsm,etc.)",IfcCommunicationsAppliance.REPEATER,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Scanner,IfcCommunicationsAppliance.SCANNER,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,"Routeur (point d'accès wifi,etc.)",IfcCommunicationsAppliance.ROUTER,Data Devices,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Statut de rénovation (Archicad),Pset_CommunicationsApplianceTypeCommon.Status,-,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Statut de rénovation (Archicad),Pset_CommunicationsApplianceTypeCommon.Status,-,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Statut de rénovation (Archicad),Pset_CommunicationsApplianceTypeCommon.Status,-,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Statut de rénovation (Archicad),Pset_CommunicationsApplianceTypeCommon.Status,-,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Statut,Pset_CommunicationsApplianceTypeCommon.Status,Phase Created,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Statut,Pset_CommunicationsApplianceTypeCommon.Status,Phase Created,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Statut,Pset_CommunicationsApplianceTypeCommon.Status,Phase Created,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Statut,Pset_CommunicationsApplianceTypeCommon.Status,Phase Created,,,,,
Appareil de données,Documentation,Descriptifs,APD,Prescriptions,,,,,,,,
Appareil de données,Documentation,Descriptifs,PDE,Prescriptions,,,,,,,,
Appareil de données,Documentation,Descriptifs,EXE,Prescriptions,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,PDE,Protocole de communication,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Protocole de communication,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Protocole de communication,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Notice de montage,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Notice de montage,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Protocole de mesure,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Protocole de mesure,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Notice de maintenance,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Notice de maintenance,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXE,Carnet d'entretien,,,,,,,,
Appareil de données,Documentation,Maintenance et fiches techniques,EXP,Carnet d'entretien,,,,,,,,
Appareil de données,Documentation,Plans et schémas,PDE,Schéma unifilaire,,,,,,,,
Appareil de données,Documentation,Plans et schémas,EXE,Schéma unifilaire,,,,,,,,
Appareil de données,Documentation,Plans et schémas,EXP,Schéma unifilaire,,,,,,,,
Appareil de données,Classification,,Toutes,,,,,,,,Uniformat II 2010,D6010 - Data Communications
Appareil de données,Classification,,Toutes,,,,,,,,DIN276,KG455 - Audiovisuelle Medien- und Antennenanlagen
Appareil de données,Classification,,Toutes,,,,,,,,DIN276,"KG457 - Datenüberstragungsnetze (Kommunikations-, sicherheits- und informationstechnische Anlagen)"
Appareil de données,Classification,,Toutes,,,,,,,,DIN276,KG485 - Datenübertragungsnetze (Gebäude- und Anlagenautomation)
Appareil électrique,Classe et type IFC,,Toutes,,,,,Congélateur,IfcElectricAppliance.FREEZER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Combiné réfrigérateur=congélateur,IfcElectricAppliance.FRIDGE_FREEZER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Frigo,IfcElectricAppliance.REFRIGERATOR,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Réfrigérateur,IfcElectricAppliance.REFRIGERATOR,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Lave-vaisselle,IfcElectricAppliance.DISHWASHER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Micro-onde,IfcElectricAppliance.MICROWAVE,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Photocopieur,IfcElectricAppliance.PHOTOCOPIER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Plaque de cuisson,IfcElectricAppliance.ELECTRICCOOKER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Taque de cuisson,IfcElectricAppliance.ELECTRICCOOKER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Robot de cuisine,IfcElectricAppliance.KITCHENMACHINE,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Sèche-cheveux fixe,IfcElectricAppliance.USERDEFINED[HAIRDRYER],Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Sèche-main,IfcElectricAppliance.HANDDRYER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Four,IfcElectricAppliance.USERDEFINED[OVEN],Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Machine à laver,IfcElectricAppliance.WASHINGMACHINE,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Lave-linge,IfcElectricAppliance.WASHINGMACHINE,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Sèche-linge,IfcElectricAppliance.TUMBLEDRYER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Distributeur de billets,IfcElectricAppliance.USERDEFINED[ATM],Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Fontaine à eau,IfcElectricAppliance.FREESTANDINGWATERCOOLER,Electrical Equipment,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Statut de rénovation (Archicad),Pset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Statut de rénovation (Archicad),Pset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Statut de rénovation (Archicad),Pset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Statut de rénovation (Archicad),Pset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Statut,Pset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Statut,Pset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Statut,Pset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Statut,Pset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil électrique,Documentation,Descriptifs,APD,Prescriptions,,,,,,,,
